Tweet:531303096161275904, 2014-11-30T06:02:37+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=7&z=7&date=201411091330, filename:img/2014/11/09/x56y7_1330.png, 
readed png, RainTime:0.097604451, MeCabTime:0.000333981, UsedTime:0.098056184

Tweet:531303096366817280, 2014-11-30T06:02:37+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=55&y=6&z=7&date=201411091330, filename:img/2014/11/09/x55y6_1330.png, 
readed png, RainTime:0.097531606, MeCabTime:0.000340755, UsedTime:0.097985784

Tweet:531303097893941248, 2014-11-30T06:02:37+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.091882215, MeCabTime:0.000446216, UsedTime:0.092443669

Tweet:531303098040340480, 2014-11-30T06:02:37+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.097920273, MeCabTime:0.000328393, UsedTime:0.09838353

Tweet:531303098510479360, 2014-11-30T06:02:38+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.096666692, MeCabTime:0.000440769, UsedTime:0.097232896

Tweet:531303099764178944, 2014-11-30T06:02:38+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=55&y=6&z=7&date=201411091330, filename:img/2014/11/09/x55y6_1330.png, 
readed png, RainTime:0.096916863, MeCabTime:0.000314286, UsedTime:0.097352673

Tweet:531303100124917760, 2014-11-30T06:02:38+09:00, not japanese, Tweet:531303101031268353, 2014-11-30T06:02:38+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=55&y=6&z=7&date=201411091330, filename:img/2014/11/09/x55y6_1330.png, 
readed png, RainTime:0.097203283, MeCabTime:0.000390203, UsedTime:0.097687771

Tweet:531303101425135616, 2014-11-30T06:02:38+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.097301759, MeCabTime:0.000330419, UsedTime:0.097746508

Tweet:531303101601681409, 2014-11-30T06:02:38+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.091442703, MeCabTime:0.000449569, UsedTime:0.0920168

Tweet:531303101542588416, 2014-11-30T06:02:38+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.098372565, MeCabTime:0.000326648, UsedTime:0.09884567

Tweet:531303101769072641, 2014-11-30T06:02:38+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=55&y=6&z=7&date=201411091330, filename:img/2014/11/09/x55y6_1330.png, 
readed png, RainTime:0.097097822, MeCabTime:0.000401867, UsedTime:0.097624635

Tweet:531303102486282240, 2014-11-30T06:02:38+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.097139936, MeCabTime:0.000370298, UsedTime:0.097631829

Tweet:531303102922506240, 2014-11-30T06:02:38+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.097353442, MeCabTime:0.000321061, UsedTime:0.097790997

Tweet:531303103094456320, 2014-11-30T06:02:38+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.097317962, MeCabTime:0.000309257, UsedTime:0.097753422

Tweet:531303104151433216, 2014-11-30T06:02:39+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.091738342, MeCabTime:0.000354026, UsedTime:0.092204603

Tweet:531303104067563521, 2014-11-30T06:02:39+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.097986273, MeCabTime:0.000377283, UsedTime:0.098509734

Tweet:531303108513513474, 2014-11-30T06:02:39+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.097158585, MeCabTime:0.000402495, UsedTime:0.097731911

Tweet:531303110266740736, 2014-11-30T06:02:39+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.097015898, MeCabTime:0.000367715, UsedTime:0.097505067

Tweet:531303110946615296, 2014-11-30T06:02:39+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=55&y=6&z=7&date=201411091330, filename:img/2014/11/09/x55y6_1330.png, 
readed png, RainTime:0.097499689, MeCabTime:0.000452293, UsedTime:0.098069105

Tweet:531303111587934208, 2014-11-30T06:02:39+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.09736308, MeCabTime:0.000300527, UsedTime:0.097775213

Tweet:531303112573587456, 2014-11-30T06:02:39+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=55&y=5&z=7&date=201411091330, filename:img/2014/11/09/x55y5_1330.png, 
readed png, RainTime:0.091534266, MeCabTime:0.000394882, UsedTime:0.092042291

Tweet:531303112993030144, 2014-11-30T06:02:39+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.097800985, MeCabTime:0.000354445, UsedTime:0.098290223

Tweet:531303113987067904, 2014-11-30T06:02:39+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.097127295, MeCabTime:0.000315193, UsedTime:0.097571206

Tweet:531303114511351808, 2014-11-30T06:02:39+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=7&z=7&date=201411091330, filename:img/2014/11/09/x56y7_1330.png, 
readed png, RainTime:0.09706353, MeCabTime:0.000311492, UsedTime:0.097497454

Tweet:531303114624602112, 2014-11-30T06:02:39+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=55&y=6&z=7&date=201411091330, filename:img/2014/11/09/x55y6_1330.png, 
readed png, RainTime:0.097369505, MeCabTime:0.000298572, UsedTime:0.09778527

Tweet:531303117006983169, 2014-11-30T06:02:40+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.097497733, MeCabTime:0.000316032, UsedTime:0.09793487

Tweet:531303117623918592, 2014-11-30T06:02:40+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.092006603, MeCabTime:0.000456482, UsedTime:0.092599624

Tweet:531303117531267072, 2014-11-30T06:02:40+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.097934102, MeCabTime:0.000490425, UsedTime:0.098563372

Tweet:531303118114287617, 2014-11-30T06:02:40+09:00, no place, Tweet:531303121838800897, 2014-11-30T06:02:40+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=55&y=6&z=7&date=201411091330, filename:img/2014/11/09/x55y6_1330.png, 
readed png, RainTime:0.096603486, MeCabTime:0.000356679, UsedTime:0.097062412

Tweet:531303121759113216, 2014-11-30T06:02:40+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=54&y=4&z=7&date=201411091330, filename:img/2014/11/09/x54y4_1330.png, 
readed png, RainTime:0.454120597, MeCabTime:0.000362965, UsedTime:0.454608578

Tweet:531303125865361409, 2014-11-30T06:02:40+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=7&z=7&date=201411091330, filename:img/2014/11/09/x56y7_1330.png, 
readed png, RainTime:0.09734541, MeCabTime:0.000302623, UsedTime:0.097802242

Tweet:531303126159355904, 2014-11-30T06:02:41+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=57&y=8&z=7&date=201411091330, filename:img/2014/11/09/x57y8_1330.png, 
readed png, RainTime:0.102710618, MeCabTime:0.000398515, UsedTime:0.103223741

Tweet:531303126301540352, 2014-11-30T06:02:41+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.090957097, MeCabTime:0.00036066, UsedTime:0.091441167

Tweet:531303130609098752, 2014-11-30T06:02:41+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.097999264, MeCabTime:0.000379168, UsedTime:0.098512039

Tweet:531303131528060929, 2014-11-30T06:02:41+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.096835079, MeCabTime:0.000449639, UsedTime:0.097410293

Tweet:531303133121880064, 2014-11-30T06:02:41+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.097144406, MeCabTime:0.000412692, UsedTime:0.097679181

Tweet:531303136623751168, 2014-11-30T06:02:41+09:00, no place, Tweet:531303136388870145, 2014-11-30T06:02:41+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=57&y=6&z=7&date=201411091330, filename:img/2014/11/09/x57y6_1330.png, 
readed png, RainTime:0.097462883, MeCabTime:0.00032574, UsedTime:0.097883886

Tweet:531303138246922242, 2014-11-30T06:02:41+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=55&y=6&z=7&date=201411091330, filename:img/2014/11/09/x55y6_1330.png, 
readed png, RainTime:0.097232407, MeCabTime:0.000309327, UsedTime:0.097655924

Tweet:531303138473431040, 2014-11-30T06:02:41+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=55&y=6&z=7&date=201411091330, filename:img/2014/11/09/x55y6_1330.png, 
readed png, RainTime:0.091426361, MeCabTime:0.000350463, UsedTime:0.091889408

Tweet:531303139149111296, 2014-11-30T06:02:41+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.098012045, MeCabTime:0.000507886, UsedTime:0.098654585

